text,label
"The US president last week suggested that the US could ""take over"" and ""own"" Gaza, resettling its population in the process.",1
"The cost of cars, fruit and pharmaceuticals could increase because of Trump's tariff announcement.",1
The French president posted a montage of parodies featuring himself to promote an AI Summit in Paris.,1
His exit comes as political opponents had sought to have him impeached over last year's cancelled vote.,1
Ne Zha 2 is animated film about a boy who battles demons with his magical powers.,1
"The cost of cars, fruit and pharmaceuticals could increase because of Trump's tariff announcement.",1
"Hadi Matar is charged with stabbing the acclaimed author multiple times, paralysing a hand and damaging his liver, on stage in 2022.",1
"Sheeran says it was a planned performance, but police say they refused permission to prevent congestion.",1
The singer and the US president joined fans to witness the Eagles steamroller the Chiefs in New Orleans.,1
The French president posted a montage of parodies featuring himself to promote an AI Summit in Paris.,1
Australian teacher Hannah Grundy was left to track down the man posting deepfake pornography of her.,1
The Japanese prime minister gets much needed reassurances that his country is still America's top ally.,1
"The growth is led by a tourism boom, with Spain nearing France as the world's most visited country.",1
The 23-year-old says the neighbourhood she grew up in is now almost unrecognisable.,1
What was it like to act in a video game thought to have one of the longest scripts ever written for the medium?,1
The Japanese prime minister gets much needed reassurances that his country is still America's top ally.,1
"After Lamar's show, a reminder of where we are now in the big rap feud, and exactly how we got here.",1
"The US has historically given automatic citizenship to anyone born in the country, but this principle is not the norm globally.",1
"The growth is led by a tourism boom, with Spain nearing France as the world's most visited country.",1
Albin Kurti's party is on track to come first in Kosovo's general election but may not be able to govern alone.,1
Vittorio Sella's work shaped both mountain photography and mountaineering history.,1
"The vice-president says the judiciary cannot ""control"" the Trump administration's ""legitimate power"".",1
"The performance in Perth, Australia was postponed due to the blockage of a major sewer.",1
"""I don't know how to put it into words,"" says one of the hostages released from Gaza last month.",1
Vittorio Sella's work shaped both mountain photography and mountaineering history.,1
A junior partner in South Africa's governing coalition calls the new Expropriation Act unconstitutional.,1
The military leader says a caretaker government will be formed as his forces gain ground in Khartoum.,1
"The vice-president says the judiciary cannot ""control"" the Trump administration's ""legitimate power"".",1
All the latest news as Pep Guardiola speaks to the media before Manchester City's Champions League play-off match against Real Madrid.,1
"President Trump and Taylor Swift in attendance as Philadelphia Eagles beat Kansas City Chiefs in Super Bowl 59 at Caesars Superdrome, New Orleans",1
The Philadelphia Eagles demolish the Kansas City Chiefs 40-22 to deny them an unprecedented third straight Super Bowl.,1
Injured duo Immanuel Feyi-Waboso and George Furbank could return to boost England's back-three options before the end of the Six Nations.,1
The leading LIV Golf League player not already exempt for this year's Open Championship will gain entry to the field for Royal Portrush.,1
"President Trump and Taylor Swift in attendance as Philadelphia Eagles beat Kansas City Chiefs in Super Bowl 59 at Caesars Superdrome, New Orleans",1
"There was a sense it was over almost before it began as Scotland suffered another chastening Six Nations defeat by Ireland, writes Tom English.",1
"With golf back live on free-to-air television in the UK, the leader of the free world brokering a united future and top stars growing the game on a giant simulator, should we be looking at the sport from a glass half full perspective, writes Iain Carter.",1
The Philadelphia Eagles demolish the Kansas City Chiefs 40-22 to deny them an unprecedented third straight Super Bowl.,1
Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.,1
,1
